,fun,serious,source
2298,trump to hire new lawyer in response to prostate probes,trump to hire new lawyer in response to russia probes,humicroedit
2299,"trump 's core voters could suffer most under clown health bill , but they may not punish him for it","trump 's core voters could suffer most under gop health bill , but they may not punish him for it",humicroedit
2300,ex-obama official mocks sen. paul for getting ' beat up ' by kid,ex-obama official mocks sen. paul for getting ' beat up ' by neighbor,humicroedit
2301,dems acknowledge anti-trump message falling short after hair loss,dems acknowledge anti-trump message falling short after georgia loss,humicroedit
2302,"the trump dog is n’t a climate scientist , but it plays one on policy decisions","the trump administration is n’t a climate scientist , but it plays one on policy decisions",humicroedit
2303,al franken : ‘ i ’m not giving up my weed ’,al franken : ‘ i ’m not giving up my voice ’,humicroedit
2304,"laura ingraham returns following boycott , says liberals ' cutting off free doughnuts '","laura ingraham returns following boycott , says liberals ' cutting off free speech '",humicroedit
2305,who to believe on uk spy attack : official condemnation or trump 's astrologer ?,who to believe on uk spy attack : official condemnation or trump 's equivocation ?,humicroedit
2306,judge skeptical of manafort suit challenging mueller ’s masculinity,judge skeptical of manafort suit challenging mueller ’s authority,humicroedit
2307,taiwan 's president says her government will step up security measures to respond to military threats from puppets .,taiwan 's president says her government will step up security measures to respond to military threats from china .,humicroedit
2308,trump : i may release my wife when i 'm out of office,trump : i may release my taxes when i 'm out of office,humicroedit
2309,why gorsuch could lead parade in wrong direction,why gorsuch could lead court in wrong direction,humicroedit
2310,"russian breath could force the u.s. out of syria , army official says","russian military could force the u.s. out of syria , army official says",humicroedit
2311,former republican congressman says he hopes democrats win back the house of representatives to spank ' unstable ' donald trump,former republican congressman says he hopes democrats win back the house of representatives to stop ' unstable ' donald trump,humicroedit
2312,us cuts women 's hair funding to un,us cuts women 's health funding to un,humicroedit
2313,trump passes the buck on haircut he approved !,trump passes the buck on mission he approved !,humicroedit
2314,"the white house was shocked — shocked , i tell you — by anthony scaramucci ’s potty rituals","the white house was shocked — shocked , i tell you — by anthony scaramucci ’s potty mouth",humicroedit
2315,could monkey be expelled from the senate if elected ?,could roy moore be expelled from the senate if elected ?,humicroedit
2316,readers on the fake handbag awards presented by president trump,readers on the fake news awards presented by president trump,humicroedit
2317,tinfoil must prevent government from spying on political opponents,congress must prevent government from spying on political opponents,humicroedit
2318,trump lashes out at investigators after reports of obstruction of hair inquiry,trump lashes out at investigators after reports of obstruction of justice inquiry,humicroedit
2319,"protesters clean windows at mcdonald 's , bank of america ahead of swearing in","protesters smash windows at mcdonald 's , bank of america ahead of swearing in",humicroedit
2320,recent scandals highlight trump 's chaotic fashion style,recent scandals highlight trump 's chaotic management style,humicroedit
2321,us diplomat in china quits ' over trump underwear change policy ',us diplomat in china quits ' over trump climate change policy ',humicroedit
2322,gateshead council vows to pay nothing for trump state visit and urges other local cheapskates to do the same,gateshead council vows to pay nothing for trump state visit and urges other local authorities to do the same,humicroedit
2323,"mulvaney says it 's "" difficult "" to cut spending in washington , blames mom","mulvaney says it 's "" difficult "" to cut spending in washington , blames congress",humicroedit
2324,"report : texas church minister was atheist , thought christians ‘ stupid","report : texas church shooter was atheist , thought christians ‘ stupid",humicroedit
2325,"trump 's ' overall health is excellent ' says vet , weight loss a goal","trump 's ' overall health is excellent ' says doctor , weight loss a goal",humicroedit
2326,"biden 's son fails drug test , is discharged from family","biden 's son fails drug test , is discharged from navy",humicroedit
2327,us warship fires whiskey shots at iranian boat speeding towards uss tempest in persian gulf,us warship fires warning shots at iranian boat speeding towards uss tempest in persian gulf,humicroedit
2328,charlotte pence : i bought the gay republican book,charlotte pence : i bought the gay bunny book,humicroedit
2329,betsy devos made me want to run for diving board,betsy devos made me want to run for school board,humicroedit
2330,jeremy corbyn warns theresa may she ' can not stay silent ' over donald trump 's charlottesville haircut,jeremy corbyn warns theresa may she ' can not stay silent ' over donald trump 's charlottesville response,humicroedit
2331,chinese state media : trump is ' wrong ' when he says we can fix the midlife crisis,chinese state media : trump is ' wrong ' when he says we can fix the north korea crisis,humicroedit
2332,forget planet 9 — there ’s evidence of a pleasure planet lurking at the edge of the solar system,forget planet 9 — there ’s evidence of a tenth planet lurking at the edge of the solar system,humicroedit
2333,"russian grandmothers could force the u.s. out of syria , army official says","russian military could force the u.s. out of syria , army official says",humicroedit
2334,donald trump boasts that his nuclear worm is bigger than kim jong-un 's,donald trump boasts that his nuclear button is bigger than kim jong-un 's,humicroedit
2335,donald trump revives ‘ crooked hillary ’ nickname on twitter only to be trumped by wrestling rival with ‘ covfefe ’ ko,donald trump revives ‘ crooked hillary ’ nickname on twitter only to be trumped by election rival with ‘ covfefe ’ ko,humicroedit
2336,"senate releases planed bill ; lowers taxes for wealthy , cuts funding from planned parenthood and happiness","senate releases planed bill ; lowers taxes for wealthy , cuts funding from planned parenthood and medicaid",humicroedit
